                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 1.1285,                 1.3892,                 1.1717,                 0.6054,                0.53914,                0.55526,                0.38225,                  1.097,                 1.1887,                  1.199,              1.414e-05,              1.414e-05,              1.414e-05
                     28,                 1.1165,                 1.3287,                 1.1726,                0.60812,                0.55274,                0.56225,                0.38874,                 1.0992,                 1.1703,                 1.2002,             1.3586e-05,             1.3586e-05,             1.3586e-05
                     29,                 1.1131,                 1.3084,                 1.1797,                0.62862,                0.55285,                0.57696,                0.39781,                 1.0917,                 1.1392,                 1.2003,             1.3031e-05,             1.3031e-05,             1.3031e-05
                     30,                 1.1244,                 1.3165,                 1.1633,                0.61883,                 0.5634,                0.58092,                0.40192,                 1.0889,                 1.1328,                 1.1977,             1.2477e-05,             1.2477e-05,             1.2477e-05
                     31,                 1.1121,                 1.2377,                 1.1624,                0.64316,                0.57404,                0.58733,                 0.4067,                 1.0858,                 1.1233,                 1.1941,             1.1922e-05,             1.1922e-05,             1.1922e-05
                     32,                 1.1204,                 1.2739,                 1.1765,                0.65593,                 0.5755,                0.59309,                0.41003,                 1.0877,                 1.1048,                  1.194,             1.1368e-05,             1.1368e-05,             1.1368e-05
                     33,                 1.1033,                 1.2689,                 1.1548,                0.64188,                0.58601,                0.59797,                 0.4148,                 1.0904,                 1.0914,                 1.1966,             1.0814e-05,             1.0814e-05,             1.0814e-05
                     34,                 1.0907,                 1.1927,                 1.1502,                0.64654,                 0.5824,                0.60706,                 0.4214,                  1.085,                 1.0843,                 1.1944,             1.0259e-05,             1.0259e-05,             1.0259e-05
                     35,                 1.1116,                 1.2219,                 1.1511,                0.63728,                0.59782,                0.61561,                0.42821,                 1.0833,                 1.0775,                 1.1929,             9.7048e-06,             9.7048e-06,             9.7048e-06
                     36,                 1.1059,                  1.165,                 1.1523,                0.63994,                0.60061,                0.61818,                0.42802,                 1.0856,                  1.062,                 1.1967,             9.1504e-06,             9.1504e-06,             9.1504e-06
                     37,                 1.1131,                 1.1775,                 1.1617,                0.65847,                0.59706,                0.62335,                0.43164,                 1.0884,                 1.0536,                 1.1977,              8.596e-06,              8.596e-06,              8.596e-06
                     38,                 1.0816,                 1.1633,                 1.1497,                0.65997,                0.59539,                0.62233,                0.43115,                 1.0837,                 1.0469,                 1.1947,             8.0416e-06,             8.0416e-06,             8.0416e-06
                     39,                 1.0933,                 1.1263,                 1.1603,                0.66977,                0.59437,                0.63073,                0.43565,                 1.0795,                 1.0385,                 1.1905,             7.4872e-06,             7.4872e-06,             7.4872e-06
                     40,                 1.0896,                 1.1365,                 1.1505,                0.65536,                 0.6138,                0.63152,                0.43521,                 1.0814,                 1.0308,                 1.1946,             6.9328e-06,             6.9328e-06,             6.9328e-06
                     41,                  1.101,                 1.1175,                 1.2029,                0.65329,                 0.6078,                0.63066,                0.43013,                 1.0847,                  1.031,                 1.1955,             6.3784e-06,             6.3784e-06,             6.3784e-06
                     42,                 1.0814,                 1.1152,                 1.1969,                0.65158,                 0.6115,                0.62966,                0.43219,                 1.0877,                 1.0369,                 1.1957,              5.824e-06,              5.824e-06,              5.824e-06
                     43,                 1.0889,                 1.0972,                 1.1828,                0.65346,                0.61744,                0.63203,                0.43537,                 1.0815,                 1.0292,                 1.1913,             5.2696e-06,             5.2696e-06,             5.2696e-06
                     44,                 1.0777,                 1.0873,                 1.1876,                0.66317,                0.61476,                0.63521,                0.43832,                 1.0797,                 1.0259,                 1.1903,             4.7152e-06,             4.7152e-06,             4.7152e-06
                     45,                 1.0612,                 1.0494,                 1.1702,                 0.6574,                0.61879,                0.63657,                0.43905,                 1.0799,                 1.0256,                 1.1916,             4.1608e-06,             4.1608e-06,             4.1608e-06
                     46,                 1.0761,                 1.0737,                 1.2089,                0.67349,                0.61936,                0.63561,                0.44119,                 1.0769,                 1.0177,                 1.1891,             3.6064e-06,             3.6064e-06,             3.6064e-06
                     47,                  1.071,                 1.0503,                 1.1864,                0.69225,                0.61378,                0.64291,                0.44392,                 1.0748,                 1.0095,                 1.1866,              3.052e-06,              3.052e-06,              3.052e-06
                     48,                 1.0681,                 1.0443,                 1.1699,                0.69023,                0.61806,                0.64583,                0.44619,                 1.0737,                 1.0037,                 1.1837,             2.4976e-06,             2.4976e-06,             2.4976e-06
                     49,                 1.0666,                 1.0319,                 1.1834,                0.68509,                0.61865,                0.64334,                 0.4444,                 1.0745,                 1.0045,                 1.1845,             1.9432e-06,             1.9432e-06,             1.9432e-06
                     50,                 1.0651,                 1.0248,                 1.1541,                0.66887,                0.62365,                0.64557,                0.44581,                 1.0736,                 1.0022,                 1.1845,             1.3888e-06,             1.3888e-06,             1.3888e-06
