                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.0465,                 1.1734,                 1.1557,                0.77849,                 0.7178,                0.75914,                 0.5555,                0.96638,                0.81559,                 1.1534,             1.1368e-05,             1.1368e-05,             1.1368e-05
                     33,                 1.0485,                 1.1619,                 1.1587,                0.78594,                0.72765,                0.76412,                0.56125,                0.96104,                0.79124,                 1.1528,             1.0814e-05,             1.0814e-05,             1.0814e-05
                     34,                  1.052,                 1.1675,                  1.158,                0.77643,                0.73294,                0.77103,                 0.5662,                0.96221,                0.79579,                 1.1537,             1.0259e-05,             1.0259e-05,             1.0259e-05
                     35,                 1.0637,                 1.1368,                 1.1729,                0.79584,                0.71696,                0.77264,                0.56851,                0.95896,                0.77992,                 1.1513,             9.7048e-06,             9.7048e-06,             9.7048e-06
                     36,                 1.0362,                 1.1248,                 1.1363,                0.77772,                0.74428,                0.77704,                0.57363,                0.95377,                0.77836,                 1.1466,             9.1504e-06,             9.1504e-06,             9.1504e-06
                     37,                 1.0321,                 1.1074,                 1.1348,                0.79786,                 0.7301,                 0.7769,                0.57314,                0.95303,                0.76966,                 1.1485,              8.596e-06,              8.596e-06,              8.596e-06
                     38,                 1.0273,                 1.1016,                  1.128,                0.78937,                0.74082,                0.78132,                0.57757,                0.95256,                0.75966,                 1.1457,             8.0416e-06,             8.0416e-06,             8.0416e-06
                     39,                 1.0246,                 1.0756,                 1.1232,                0.79795,                0.73958,                0.78493,                0.58056,                0.94881,                0.75094,                 1.1444,             7.4872e-06,             7.4872e-06,             7.4872e-06
                     40,                 1.0075,                 1.0478,                 1.1408,                0.79675,                0.74858,                  0.785,                0.58167,                0.94505,                 0.7552,                 1.1438,             6.9328e-06,             6.9328e-06,             6.9328e-06
                     41,                 1.0155,                 1.0806,                 1.1507,                0.78064,                0.73842,                0.77865,                0.57352,                0.95221,                0.78311,                 1.1488,             6.3784e-06,             6.3784e-06,             6.3784e-06
                     42,                0.97682,                 1.0933,                 1.1418,                0.78281,                0.74365,                0.78122,                0.57662,                0.94617,                0.77014,                 1.1445,              5.824e-06,              5.824e-06,              5.824e-06
                     43,                0.99211,                 1.0288,                 1.1589,                0.79744,                0.74381,                0.78914,                0.58386,                0.94558,                0.75457,                 1.1426,             5.2696e-06,             5.2696e-06,             5.2696e-06
                     44,                0.99856,                  1.029,                 1.1726,                0.79629,                0.74716,                0.79112,                0.58676,                0.94325,                  0.745,                 1.1418,             4.7152e-06,             4.7152e-06,             4.7152e-06
                     45,                0.99607,                 1.0087,                 1.1547,                 0.8023,                 0.7496,                0.79055,                0.58578,                0.94097,                0.74159,                 1.1405,             4.1608e-06,             4.1608e-06,             4.1608e-06
                     46,                0.99325,                 1.0167,                 1.1369,                0.80348,                0.75099,                0.78982,                0.58686,                0.93993,                0.74018,                 1.1396,             3.6064e-06,             3.6064e-06,             3.6064e-06
                     47,                0.99484,                 1.0196,                 1.1508,                0.79794,                0.75472,                0.79631,                0.59165,                0.93839,                0.73574,                 1.1389,              3.052e-06,              3.052e-06,              3.052e-06
                     48,                0.98309,                0.99697,                 1.1571,                0.79725,                0.75595,                 0.7984,                0.59207,                0.93861,                 0.7292,                 1.1382,             2.4976e-06,             2.4976e-06,             2.4976e-06
                     49,                0.97717,                 1.0073,                 1.1432,                0.79637,                0.75654,                0.80031,                0.59512,                0.93592,                0.72594,                 1.1365,             1.9432e-06,             1.9432e-06,             1.9432e-06
                     50,                0.97148,                 1.0047,                   1.14,                0.79265,                0.76217,                 0.7992,                0.59428,                0.93554,                0.72585,                 1.1373,             1.3888e-06,             1.3888e-06,             1.3888e-06
