run_id,started_utc,duration_s,difficulty,map_id,map_seed,team_id,score,rounds_used,items_delivered,orders_completed,replay_file,action_counts_json
20260301_215705,2026-03-01T21:57:05.225066+00:00,16.359,easy,c89da2ec-3ca7-40c9-a3b1-8036fca3d0b7,7001,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,103,300,43,12,game_20260301_215705.jsonl,"{""drop_off"": 15, ""move_down"": 45, ""move_left"": 75, ""move_right"": 67, ""move_up"": 46, ""pick_up"": 43, ""wait"": 9}"
20260301_220218,2026-03-01T22:02:18.703301+00:00,16.038,easy,c89da2ec-3ca7-40c9-a3b1-8036fca3d0b7,7001,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,109,300,44,13,game_20260301_220218.jsonl,"{""drop_off"": 16, ""move_down"": 48, ""move_left"": 75, ""move_right"": 68, ""move_up"": 48, ""pick_up"": 44, ""wait"": 1}"
20260301_221440,2026-03-01T22:14:40.800759+00:00,16.291,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,52,300,22,6,game_20260301_221440.jsonl,"{""drop_off"": 11, ""move_down"": 248, ""move_left"": 164, ""move_right"": 133, ""move_up"": 252, ""pick_up"": 22, ""wait"": 70}"
20260301_221531,2026-03-01T22:15:31.325830+00:00,16.022,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,52,300,22,6,game_20260301_221531.jsonl,"{""drop_off"": 11, ""move_down"": 248, ""move_left"": 164, ""move_right"": 133, ""move_up"": 252, ""pick_up"": 22, ""wait"": 70}"
20260301_221623,2026-03-01T22:16:23.700752+00:00,22.678,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,52,300,22,6,game_20260301_221623.jsonl,"{""drop_off"": 11, ""move_down"": 248, ""move_left"": 164, ""move_right"": 133, ""move_up"": 252, ""pick_up"": 22, ""wait"": 70}"
20260301_221702,2026-03-01T22:17:02.940631+00:00,16.57,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,36,300,16,4,game_20260301_221702.jsonl,"{""drop_off"": 9, ""move_down"": 261, ""move_left"": 168, ""move_right"": 139, ""move_up"": 268, ""pick_up"": 20, ""wait"": 35}"
20260301_221741,2026-03-01T22:17:41.171021+00:00,29.27,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_221741.jsonl,"{""drop_off"": 27, ""move_down"": 212, ""move_left"": 195, ""move_right"": 162, ""move_up"": 215, ""pick_up"": 54, ""wait"": 35}"
20260301_222205,2026-03-01T22:22:05.877077+00:00,27.165,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,11,300,6,1,game_20260301_222205.jsonl,"{""drop_off"": 4, ""move_down"": 226, ""move_left"": 129, ""move_right"": 173, ""move_up"": 313, ""pick_up"": 6, ""wait"": 49}"
20260301_223038,2026-03-01T22:30:38.130601+00:00,20.006,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,19,300,9,2,game_20260301_223038.jsonl,"{""drop_off"": 6, ""move_down"": 176, ""move_left"": 471, ""move_right"": 391, ""move_up"": 188, ""pick_up"": 70, ""wait"": 198}"
20260301_223221,2026-03-01T22:32:21.875621+00:00,31.332,hard,05ddc283-9097-4314-824c-90b3269a3d95,7003,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,70,300,30,8,game_20260301_223221.jsonl,"{""drop_off"": 19, ""move_down"": 273, ""move_left"": 370, ""move_right"": 313, ""move_up"": 282, ""pick_up"": 38, ""wait"": 205}"
